date,apy_roi,apy_cpi,earn_lc,earn_cc,earn_norm_lc,earn_norm_cc,exp_total_lc,exp_total_cc,exp_norm_total_lc,exp_norm_total_cc,worth_lc,worth_cc,worth_norm_lc,worth_norm_cc,exp_al_cc,exp_cc,exp_lc,exp_non_taylor
2033-02-28,53.2001758084263,0.170023649992879,11566556.6018531,11877281.1283394,10480906.0588614,10762465.6175433,1668724.14251348,1128752.4328611,1512095.74101213,1022806.40814338,16576479.2625116,17116450.972164,15020591.5137452,15509880.8466139,0,316780.543573501,856752.253225882,811971.889287597
2033-03-31,13.3824090193655,1.52993476577534,11740962.7608954,12057368.4932868,10625489.4057245,10911834.3866176,1691058.48204819,1143517.18753927,1530396.13116815,1034875.07872274,16746108.2341495,17293649.5286584,15155111.1482702,15650632.2007156,0,320924.221918297,868465.516427216,822592.965620978
2033-04-30,-57.0247476176032,2.87428717544889,10602908.6901474,10882103.8903718,9572925.59686138,9824999.33972335,1713473.31871086,1158316.84982477,1547023.84709476,1045796.14377583,15470716.1480241,16025872.6169102,13967866.6433124,14469094.3466313,0,325077.696964743,880234.165850835,833239.15286003
2033-05-31,26.9783364172511,6.34890375652284,10913920.5415256,11204276.1973838,9803309.14514161,10064117.9210153,1736063.95304926,1173192.62331276,1559400.36055086,1053807.37649451,15793583.7671595,16356455.096896,14186412.9933927,14692005.977449,0,329252.532362136,892123.862098638,843940.090950627
2033-06-30,55.1654457163402,1.26530954312807,11502840.3957861,11814184.7079469,10321479.317984,10600848.0450262,1758690.73514009,1188083.99194639,1578070.23525497,1066065.76540824,16424612.148635,16995218.8918287,14737776.8242484,15249781.2940952,0,333431.744484282,904038.487677983,854652.247462111
2033-07-31,-31.1104329109774,2.05683925271047,11000605.5484687,11294501.7414317,9854091.7653407,10117357.2776057,1781376.17142256,1203000.64736619,1595716.17984546,1077620.56558431,15845914.2923991,16424289.8164555,14194408.9218581,14712504.5361192,0,337618.053257238,915993.577313611,865382.594108952
2033-08-31,38.0222148694408,0.320085150704452,11431891.9629469,11741530.1005772,10237701.5249911,10514994.4563876,1804070.83410881,1217921.27579397,1615615.22706927,1090695.62089361,16302990.6773674,16889140.2356823,14599958.8747492,15124878.4809248,0,341805.477041415,927955.035356261,876115.798752554
2033-09-30,15.0544966135325,2.94941350364117,11623531.3550165,11940059.5993297,10384138.0706149,10666915.5580932,1826849.54592838,1232878.09020741,1632056.32950551,1101418.83064001,16493057.9598133,17087029.4155343,14734437.0510465,15265074.549912,0,346003.056299789,939974.512020757,886875.03390762
2033-10-31,-50.8175436040358,1.44104070372317,10676474.8188376,10958896.3164933,9526698.80001318,9778705.62702937,1849669.77226743,1247852.74822107,1650474.2528676,1113468.39483906,15418280.7108422,16020097.7348885,13757847.8700742,14294853.7281028,0,350205.643304071,952022.667350438,897647.104916994
2033-11-30,-33.9346980972913,2.40760511839913,10152961.7856383,10414949.1595677,9041620.79058475,9274931.08338445,1872559.19604777,1262857.12393222,1667589.2725742,1124625.05703855,14809074.4788465,15418776.550962,13188076.398225,13731040.6137607,0,354416.570479405,964118.642594958,908440.553452812
